숙소명,시군구명,질문1,질문2,질문3,질문4,질문5
어반스테이 속초등대해변,속초시,"아침에 일찍 일어나 바다를 산책하고 싶은데, 근처에 해변이 있는 숙소가 있을까요?","부모님께서 밤에 조용히 쉬실 수 있는 곳을 찾고 있는데, 주변 공사 소음이 적은 숙소가 있을까요?","짐을 보관할 수 있는 서비스가 중요한데, 체크인 전에 짐을 맡길 수 있는 숙소가 있을까요?",차량을 가져가는데 주차가 편리한 숙소가 있나요? 유료 서비스라도 괜찮습니다,이메일 확인이 번거로우신 부모님을 위해 프론트 데스크가 운영되는 숙소를 추천해줄 수 있나요?
설악파인리조트,속초시,설악산 근처에 위치한 숙소 중에서 다양한 편의시설을 갖춘 곳이 있을까요?,"속초해수욕장을 차로 쉽게 방문할 수 있는 숙소를 찾고 있는데, 그런 곳이 있을까요?","휠체어를 사용하는 분과 함께 여행할 계획인데, 엘리베이터가 있는 숙소가 있을까요?",방음이 잘 되어 있어 조용한 환경을 제공하는 숙소가 있을까요?,"부모님께서 솜 베개를 선호하시는데, 그런 베개를 제공하는 숙소가 있을까요?"
신세계영랑호리조트,속초시,"부모님께서 시장 구경을 좋아하시는데, 중앙시장과 가까운 숙소가 어디에 있을까요?","아바이마을을 방문하고 싶은데, 도보로 접근 가능한 숙소가 있을까요?","차 없이도 쉽게 이동하고 싶어서, 속초시외버스터미널과 가까운 숙소를 찾고 있어요","속초해수욕장에서 여유롭게 시간을 보낼 계획인데, 해변과 가까운 숙소가 있을까요?","부모님과 호수 주변을 산책하고 싶어 하는데, 영랑호 근처에 위치한 숙소를 추천해 주세요"
한화호텔앤드리조트(쏘라노),속초시,설악산 국립공원까지 차로 가까운 거리에 있는 숙소가 있을까요?,속초해변에서 그리 멀지 않은 가족 친화적인 숙소를 추천받을 수 있을까요?,"휠체어를 사용하시는 어머니와 함께 머물려고 하는데, 엘리베이터가 있는 숙소가 필요해요",장애인 편의시설이 잘 갖춰진 숙소가 있는지 알고 싶어요,"부모님이 계단을 오르기 힘들어 하시는데, 엘리베이터가 있는 숙소가 있을까요?"
현대수콘도미니엄,속초시,"설악산 국립공원에 방문할 계획인데, 가까운 숙소 중에 편의시설이 잘 갖춰진 곳이 있을까요?","속초해변에서 거리가 멀지 않은 숙소를 찾고 있는데, 고령자에게도 편리한 곳이 있을까요?","휠체어를 사용하는 부모님과 함께 머무를 예정인데, 엘리베이터가 있는 숙소를 추천받을 수 있을까요?",건물 내 금연 구역이 잘 마련된 숙소가 있는지 알고 싶습니다,"부모님께서 숙소 출입이 편리해야 하는데, 전용 출입구가 있는 숙소가 있을까요?"
도미니클라바 속초,속초시,"속초해변 근처에서 머물고 싶은데, 근처에 있는 숙소 추천해 주실 수 있나요?",속초에서 여름철 휴가를 보내기 좋은 숙소가 어디 있을까요?,"몸이 불편하신 부모님과 함께 머물 예정인데, 엘리베이터가 있는 숙소가 있을까요?",휠체어 사용자도 편리하게 이용할 수 있는 숙소를 찾고 있습니다. 어떤 곳이 좋을까요?,장애인 편의시설이 잘 갖춰진 숙소에서 여름철 휴식을 즐기고 싶습니다. 추천해 주실 수 있나요?
금호설악콘도,속초시,"속초시립박물관을 방문할 예정인데, 근처에 위치한 편의시설이 잘 갖춰진 숙소가 있을까요?",척산족욕공원과 가까운 곳에 있는 숙소를 찾고 있습니다. 접근성이 좋은 숙소가 있을까요?,"휠체어를 사용하시는 부모님과 함께 묵을 예정인데, 엘리베이터가 있는 숙소가 있을까요?","어머니께서 계단을 오르내리기 힘드신데, 엘리베이터가 설치된 숙소를 추천해 주실 수 있나요?",고령의 아버지와 함께 머물 수 있는 편의시설이 잘 갖춰진 숙소가 있을까요?
라마다 속초,속초시,대포항 근처에 위치한 숙소 중에서 편의시설이 잘 갖춰진 곳이 있을까요?,아바이 마을을 방문할 계획인데 가까운 숙소 중에서 장애인 지원 시설이 잘 되어 있는 곳이 있을까요?,"휠체어를 사용하시는 어머니와 함께 묵을 예정인데, 휠체어 접근성이 좋은 숙소가 있을까요?","시각장애가 있는 아버지를 위해 점자 안내판이 마련된 숙소를 찾고 있는데, 추천해주실 수 있나요?",솜 베개를 제공하는 숙소가 있을까요? 부모님께서 편안한 잠자리를 원하십니다
호텔 아마란스,속초시,설악산 울산바위가 잘 보이는 숙소가 있나요? 차량으로 이동하기 편한 곳이면 좋겠습니다,속초 IC에서 가까운 숙소가 있을까요? 교통이 편리한 곳을 찾고 있습니다,"휠체어를 사용하시는 어머니와 여행하려는데, 출입구에 경사로가 설치된 숙소가 있을까요?","엘리베이터가 있는 곳이라면 이동이 편리할 것 같은데, 그런 숙소를 추천받을 수 있을까요?","고령인 부모님과 함께 여행할 예정인데, 장애인 편의시설이 잘 갖춰진 숙소가 있을까요?"
송월파크,속초시,"부모님과 함께 깨끗한 자연환경을 즐기고 싶은데, 설악산 국립공원 입구 근처에 있는 숙소가 있나요?",속초해수욕장 근처에 편리하게 접근할 수 있는 숙소가 있을까요?,"가족과 함께 낙산사 방문을 계획 중인데, 가까운 숙소를 추천해줄 수 있나요?","대포항에서 신선한 해산물을 맛보고 싶은데, 그 주변에 숙소가 있나요?","척산온천을 이용할 계획인데, 온천과 가까운 숙소가 있을까요?"
더케이설악산가족호텔,속초시,강원도 속초 지역에 휠체어 대여가 가능한 숙소가 있을까요?,설악산 근처에 위치한 숙소 중에서 장애인 화장실이 있는 곳이 있을까요?,"시각장애가 있는 할아버지와 함께 머물 예정인데, 점자블록이 설치된 숙소가 있을까요?",속초에 있는 숙소 중에서 장애인 주차장이 마련된 곳이 있을까요?,속초에서 가족이 함께 머물기 좋은 넓은 객실을 제공하는 숙소가 있을까요?
화이트스테이션 호스텔,속초시,"부모님이 전통시장을 좋아하시는데, 근처에 시장이 있는 숙소가 있을까요?","속초 시내 관광을 편리하게 하고 싶은데, 대중교통이 잘 연결된 숙소가 있나요?",저녁에 야경을 즐기고 싶어요. 바다나 산이 잘 보이는 숙소가 있을까요?,"어머니가 해산물을 좋아하시는데, 도보로 이동 가능한 거리에 맛집이 많은 숙소가 있을까요?",부모님과 함께 온천을 이용하고 싶어요. 근처에 온천 시설이 있는 숙소가 있을까요?
바다향기펜션,속초시,근처에 바다를 산책할 수 있는 해변이 있나요?,"대중교통을 이용할 계획인데, 버스 정류장이나 기차역과 가까운 숙소가 있나요?","부모님께서 지역 특산물을 좋아하셔서, 근처에 전통시장이 있는 숙소를 찾고 있어요",날씨가 추워질 때 따뜻한 온천을 이용할 수 있는 숙소가 주변에 있을까요?,근처에 병원이나 약국이 있어 응급 상황시 쉽게 갈 수 있는 숙소가 있을까요?
해림모텔,속초시,설악산 국립공원을 쉽게 방문할 수 있는 숙소가 있을까요? 부모님이 산책을 좋아하셔서요,척산족욕공원을 걸어서 갈 수 있는 위치에 있는 숙소가 있을까요? 부모님에게 좋은 휴식 시간이 될 것 같아요,속초시립박물관 및 실향민 민속촌을 둘러보기에 편리한 숙소가 있을까요? 역사와 문화를 좋아하시는 부모님께 추천드리고 싶어요,"여름에 내린천 래프팅을 즐기고 싶은데, 근처에 숙소가 있어서 편하게 쉬고 싶어요",속초해변을 방문하기 쉬운 숙소가 있을까요? 부모님과 함께 바다를 즐기고 싶어요
호텔 느낌,속초시,"부모님께서 호숫가 산책을 좋아하시는데, 청초호 호수공원으로 쉽게 접근할 수 있는 숙소가 있을까요?","척산온천을 자주 이용할 예정인데, 온천까지 가기 편리한 숙소를 추천해주실 수 있나요?","속초해수욕장에서 여유롭게 시간을 보내고 싶은데, 해수욕장과 가까운 숙소가 있을까요?","설악산 국립공원을 방문할 계획인데, 아침 일찍 출발하기 좋은 위치에 있는 숙소가 있나요?","시내의 편의시설을 자주 이용해야 하는데, 속초 시내 중심에 위치한 숙소를 알려주실 수 있나요?"
위너스모텔,속초시,"척산온천을 자주 방문할 계획인데, 근처에 있는 숙소가 있을까요?",청초호 호수공원에 도보로 이동할 수 있는 숙소가 있을까요?,휠체어를 이용하는 데 불편함이 없도록 휠체어 전용 길이 잘 마련된 숙소가 있을까요?,"부모님이 거동이 불편하신데, 숙소 주변의 편의시설 접근성이 좋은 곳이 있을까요?",설악산국립공원에 쉽게 접근할 수 있는 위치의 숙소가 있을까요?
광림모텔,속초시,"바닷가를 산책하고 싶은데, 속초 해변 근처에 위치한 숙소가 있나요?","시장 구경을 좋아하는 부모님과 함께 가려고 하는데, 속초 중앙시장과 가까운 숙소를 찾고 있어요","차를 가져가지 않아서 대중교통을 이용해야 하는데, 속초 버스터미널과 가까운 숙소를 추천해줄 수 있나요?",설악산에 가기 전에 숙소에서 쉬고 싶습니다. 설악산 입구와 가까운 숙소가 있을까요?,"부모님이 역사에 관심이 많으신데, 속초시립박물관과 가까운 숙소가 어디에 있는지 알고 싶어요"
대궐파크,속초시,"부모님께서 꽃을 좋아하시는데, 주변에 정원이 잘 가꾸어진 공원이나 식물원이 있는 숙소가 있을까요?","어머니께서 햇볕을 쬐며 산책하는 것을 좋아하시는데, 숙소 근처에 산책로가 잘 조성되어 있는 곳이 있나요?","아버지께서 지역 문화를 체험하는 것을 좋아하시는데, 전통 시장이나 박물관이 가까운 숙소가 있을까요?","부모님이 조용한 환경을 선호하시는데, 숙소 주변이 한적하고 소음이 적은 지역에 위치한 곳이 있나요?","어머니가 아침에 커피를 즐겨 드시는데, 근처에 전망 좋은 카페가 있는 숙소를 추천해줄 수 있나요?"
조양펜션,속초시,"속초해수욕장 근처에 머물고 싶은데, 해변까지 걸어서 갈 수 있는 숙소가 있을까요?","속초 시내에서 식사를 하거나 쇼핑을 할 계획인데, 시내 접근이 편리한 숙소가 어디에 있나요?","조용히 쉴 수 있는 곳을 찾고 있는데, 속초에서 비교적 한적한 지역에 위치한 숙소가 있을까요?",속초에 머무는 동안 교통이 편리하게 이용 가능한 숙소가 있나요? 대중교통 접근성이 좋은 곳이면 좋겠어요,"속초의 유명 관광지들과 가까운 숙소를 찾고 있는데, 추천해주실 만한 곳이 있나요?"
미라지모텔,속초시,근처에 식료품점이나 슈퍼마켓이 있어서 필요한 물품을 쉽게 구입할 수 있는 숙소가 있을까요?,대중교통을 이용하기 편리한 위치에 있는 숙소를 추천해주실 수 있나요?,"부모님께서 의료 서비스가 필요할 수 있어서, 인근에 병원이나 약국이 있는 숙소가 있나요?",조용한 산책로가 있는 공원이나 자연 경관이 가까운 곳에 위치한 숙소를 찾고 있어요,"저녁에 지역 특산 음식을 맛보고 싶어서, 근처에 맛집이나 전통 시장이 있는 숙소가 있을까요?"
헬리오스모텔,속초시,속초등대전망대와 가까운 숙소 중에서 장애인 객실이 있는 곳이 있을까요?,설악산을 바라보며 쉴 수 있는 숙소 중에 장애인 전용 주차구역이 있는 곳이 있나요?,"시각장애가 있는 어머니와 함께 여행하려고 하는데, 점자블록이 설치된 숙소가 있나요?","휠체어를 사용하는 가족과 함께 갈 예정인데, 무장애 편의시설이 잘 갖춰진 숙소가 있을까요?",바다 전망을 즐길 수 있는 숙소 중에서 장애인 화장실이 있는 곳이 있을까요?
아이리스모텔,속초시,고속버스터미널에서 멀지 않은 곳에 있어 이동이 편리한 숙소가 있을까요?,바닷가와 가까워서 아침 산책하기 좋은 숙소를 추천해주실 수 있나요?,"넓은 주차 공간이 있는 숙소가 어디인지 알고 싶어요, 부모님께서 차로 이동하실 예정이에요",주변에 관광지를 쉽게 방문할 수 있는 위치에 있는 숙소가 있나요?,최근에 새 단장을 해서 깔끔한 환경을 제공하는 숙소를 찾고 있습니다. 추천해주실 수 있나요?
더 레드 하우스,속초시,설악산을 쉽게 방문할 수 있는 숙소가 있나요? 경치도 좋고 접근성도 좋은 곳이면 좋겠어요,"동해안 바다를 보러 가고 싶은데, 해변과 가까운 숙소가 있을까요?","휠체어를 사용하는 어머니와 함께 머물 예정인데, 출입문에 경사로가 잘 설치된 숙소가 있을까요?","반려견을 데리고 여행하려고 하는데, 반려견 동반이 가능한 숙소가 있을까요?","부모님께서 이동이 불편하신데, 경사가 완만한 출입구가 있는 숙소가 있나요?"
